ID	Synonyms	Definition	Definition in Sorani
ENG20-02244406-v	withdraw; draw; take out; draw off; 	remove (a commodity) from (a supply source)	لابردنی (کەلوپەل) لە ( جێگای مەنبەع)
ENG20-02244530-n	mouse; 	any of numerous small rodents typically resembling diminutive rats having pointed snouts and small ears on elongated bodies with slender usually hairless tails	هەر جۆرە کرتێنەری بچووک وەک مشکە بچەەکەکان کە پۆزەی تیژیان هەیە و گوێ بچووک بە کلکی باریک و بێ موو
ENG20-02245260-n	rat; 	any of various long-tailed rodents similar to but larger than a mouse	هەر جۆرە کلک درێژی کرتێنەر وەکوو مشک بەڵام گەورەتر
ENG20-02246094-v	deprive; 	keep from having, keeping, or obtaining	بە بەش کردن لە هەبوون، نگا هێشتن یان گرتن
ENG20-02248962-v	disinherit; disown; 	prevent deliberately (as by making a will) from inheriting	نەهێشتنی لە ئەنقەستی کەسێک لە میرات بردن وەک بە وەسیەت
ENG20-02249169-v	release; relinquish; resign; free; give up; 	part with a possession or right	وێڵ کردنی خاوەنێتی یان ماف
ENG20-02249514-v	concede; yield; cede; grant; 	give over; surrender or relinquish to the physical control of another	بە دەستەوە دان، ڕادەست کردن یان وێڵ کردن بە کۆنترۆڵی فیزیکی یەکی دی
ENG20-02249733-v	give; 	cause to have, in the abstract sense or physical sense	پێ دان، لە مانا مادی و ئەبستراکتەکەی دا
ENG20-02249941-v	grant; give; 	bestow, especially officially	پێدان بە تایبەت بە فەرمی
ENG20-02253221-v	charge; bill; 	demand payment	داوای پارە کەردن
ENG20-02256826-v	borrow; 	get temporarily	ماوەیی وە دەست خستن
ENG20-02256982-v	lend; loan; 	give temporarily; let have for a limited time	بۆ ماوەیەک پێدان، بۆ ماوەیەک هێشتن
ENG20-02257242-v	lend; impart; bestow; contribute; add; bring; 	bestow a quality on	پێدانی چۆنیەتیەک
ENG20-02259805-v	supply; provide; render; furnish; 	provide or furnish with	فەراهەم هێنان یان ڕازینەوە بە
ENG20-02267393-v	arm; 	supply with arms	چەک پێ دان
ENG20-02269009-v	furnish; 	provide or equip with furniture	فەراهەم هێنان یان ئامادە کردنی کەلوپەل
ENG20-02271697-v	yield; give; afford; 	be the cause or source of	هۆ یان سەرچاوەی شتێ بوون
ENG20-02271939-v	equip; fit; fit out; outfit; 	provide with (something) usually for a specific purpose	فەراهەم هێنان بۆ مەبەستێکی تایبەت
ENG20-02278037-v	spare; give up; part with; dispense with; 	give up what is not strictly needed	وێڵ کردنی شتێک کە پێویست نیە
ENG20-02279267-v	adopt; follow; espouse; 	choose and follow; as of theories, ideas, policies, strategies or plans	هەڵبژارتن و وە دوا کەوتن، هی تیۆر، فکر، سیاسەت، ستراتژی یان پلان
ENG20-02279592-v	pawn; soak; hock; 	leave as a guarantee in return for money	دانیان وەک متمانە لە جیاتی پارە
ENG20-02280009-v	consign; charge; 	give over to another for care or safekeeping	پێدان بە یەکی دی لە بۆ چاودیری کردن یان سالم نگا هێشتن
ENG20-02280940-v	commit; institutionalize; institutionalise; send; charge; 	cause to be admitted; of persons to an institution	بوونە هۆی قبووڵ کردنی کەسان لە ئەنستیتۆیەک دا
ENG20-02281584-v	entrust; intrust; trust; confide; commit; 	confer a trust upon	متمانە کردن بە
ENG20-02282317-v	defray; 	bear the expenses of	خەرجیەکانی پاڵپشت کردن
ENG20-02284395-v	liquidate; pay off; 	eliminate by paying off (debts)	دوایی پێ هێنان بە دانەوە (قەرز)
ENG20-02284639-v	amortize; amortise; 	liquidate gradually	وردەوردە قەرز بار کردن
ENG20-02284640-n	ungulate; hoofed mammal; 	any of a number of hoofed mammals superficially similar but not necessarily closely related taxonomically	ئەژماری ئەو شیردەرە سمدارانە کە لە یەک دەچن بەڵام پێویستیش نیە تۆکسۆنۆمیک زۆر لە یەک نزیک بن
ENG20-02287120-n	odd-toed ungulate; perissodactyl; perissodactyl mammal; 	placental mammals having hooves with an odd number of toes on each foot	شیردەرە هەواڵ منداڵ دارەکان بە سمەوە بە ئەژماری تاکی ئەنگوستی پێ
ENG20-02287933-n	equine; equid; 	hoofed mammals having slender legs and a flat coat with a narrow mane along the back of the neck	شیردەرانی سمدار کە پێ لاوازیان هەیە و پۆششی ساف و پۆپنی بەرتەسک لە سەر گەردنیان
ENG20-02288182-v	pour; 	supply in large amounts or quantities	فەراهەم هێنان لە ئەژمار و میزانی زۆر دا
ENG20-02288217-n	horse; Equus caballus; 	solid-hoofed herbivorous quadruped domesticated since prehistoric times	چوار پێ سم سەختی گیاخۆری کەوی کە لە پێش دەورانیی مێژووییەوە ڕام کراوە
ENG20-02288606-v	entrust; leave; 	put into the care or protection of someone	لە ژێر چاودێری و نگاداری کەسێ دی نیان
ENG20-02288943-v	remember; 	show appreciation to	پیشان دانی ڕێز بۆ
ENG20-02290228-n	foal; 	a young horse	ئەسبێکی تەمەن کەم
ENG20-02290568-n	male horse; 	the male of species Equus caballus	نێرینەی جۆری ئێکووس کابالووس
ENG20-02290813-n	stallion; entire; 	uncastrated adult male horse	ئەسبی نێری نەخەسێندراوی باڵەق
ENG20-02296591-v	act; move; 	perform an action, or work out or perform (an action)	ئەنجام دانی ئیش یان پیشەیەک
ENG20-02301761-v	go; proceed; move; 	follow a procedure or take a course	بە دوا چوونی ڕەوت و پلانێک
ENG20-02302941-v	assert; put forward; 	insist on having one's opinions and rights recognized	سوور بوون لە سەر بیر و ڕا و ماف
ENG20-02303902-v	perform; 	perform a function	ئیشێ کردن
ENG20-02304062-v	make bold; dare; presume; 	take upon oneself; act presumptuously, without permission	وە خو گرتن، لە خۆەوە هەڵسوکەوت کردن بێ ئیزن
ENG20-02305904-v	interact; 	act together or towards others or with others	مامەڵە کردن لەگەڵ یەک
ENG20-02306866-v	combine; 	join for a common purpose or in a common action	کۆوە بوون بۆ مەبەستێکی یەکسان یا لە ئیشێکی هاوبەش
ENG20-02307295-n	even-toed ungulate; artiodactyl; artiodactyl mammal; 	placental mammal having hooves with an even number of functional toes on each foot	ئەو شیردەرانەی کە سم یان هەیە و ئەنگوستی پێ یان وەکوو یەکە و هەوال منداڵیان هەیە
ENG20-02307551-v	react; oppose; 	act against or in opposition to	دژ یان بەرانبەر ئیش کردن
ENG20-02308494-n	piglet; piggy; shoat; 	a young pig	بەراز تەمەن کەم 
ENG20-02311719-n	ruminant; 	any of various cud-chewing hoofed mammals having a stomach divided into four (occasionally three) compartments	هەر جۆرە شیردەرێکی کاوێژکەری سمدار کە گەدەیان لە چوار یان گاهێ سێ بەش دایە
ENG20-02312014-v	leave; depart; pull up stakes; 	remove oneself from an association with or participation in	خۆ لە هاوبەشی یان پەیوەندی لابردن
ENG20-02313251-v	invite; ask over; ask round; 	invite someone to one's house	داوەت کردن بۆ ماڵی خۆ
ENG20-02313487-v	invite; pay for; 	have as a guest	مێوان داری
ENG20-02313732-n	bovid; 	hollow-horned ruminants	کاوێژکەری شاخ کلۆر
ENG20-02316888-v	educate; school; train; cultivate; civilize; civilise; 	train to be discriminative in taste or judgment	جیا کردنەوەی تامەکان یان بڕیارەکان
ENG20-02320208-v	delegate; designate; depute; assign; 	give an assignment to (a person) to a post, or assign a task to (a person)	ئەرکێک وە ئەستۆی کەسێ خستن
ENG20-02324230-n	sheep; 	woolly usually horned ruminant mammal related to the goat	شیردەرە کاوێژکەرە شاخدارەکان کە جەستەیان خوریە و پەیوەندیشیان هەیە بە بزنەوە
ENG20-02324965-n	lamb; 	young sheep	بەرخ
ENG20-02325893-v	promote; upgrade; advance; kick upstairs; raise; elevate; 	give a promotion to or assign to a higher position	پلە پێدان، بەرز کردنەوەی پایە و پلە
ENG20-02328789-v	elect; 	select by a vote for an office or membership	بە دەنگ دان هەڵبژاردن بۆ پلە یان پۆستێک
ENG20-02338081-v	work; do work; 	be employed	دامەرزیان
ENG20-02342844-v	busy; occupy; 	keep busy with	سەری خۆ گەرم کردن لەگەڵ
ENG20-02346717-v	labor; labour; toil; fag; travail; grind; drudge; dig; moil; 	work hard	سەخت ئیش کردن
ENG20-02350232-v	let; allow; permit; 	make it possible through a specific action or lack of action for something to happen	مەیسەر کردن لە ڕێگای ئەنجان دان یا نەدانی ئیشێک
ENG20-02352029-v	volunteer; offer; 	agree freely	بە ئازادی ڕازی بوون
ENG20-02356659-v	call; 	call a meeting; invite or command to meet	داوای کۆبوونەوە کردن، داوەت یان فەرمان دان بە کۆبوونەوە
ENG20-02358151-v	separate; part; split up; split; break; break up; 	discontinue an association or relation; go different ways	پچڕانی پەیوەندی یان پێکەوەیی، ڕێگای جودا بڕین
ENG20-02358802-v	administer; administrate; 	work in an administrative capacity; supervise	ئیش لە بەڕێوەبەرایەتی، چاودێری کردن
ENG20-02359241-v	organize; organise; 	cause to be structured or ordered or operating according to some principle or idea	لە سەر ئیدە یان پرەنجیبێک ڕاچنین و ڕێک خستن
ENG20-02361668-v	join; fall in; get together; 	become part of; become a member of a group or organization	بوونە بەشێ، بوونە ئەندامی کۆمەڵ یان ڕێکخراوەیێ
ENG20-02363018-v	manage; deal; care; handle; 	be in charge of, act on, or dispose of	بەرپرسیارەتی، ئیش کردن لە سەر، یان ڕزگار بوون لە
ENG20-02364340-v	take care; mind; 	be in charge of or deal with	بەرپرسیار بوون یان مامەڵە کردن لەگەڵ
ENG20-02364732-n	muzzle; 	forward projecting part of the head of certain animals; includes the jaws and nose	بەشی پێشینی سەری هەندێ گیانەوەر کە لووت و شەویلک لە خۆ دەگرێ
ENG20-02365915-v	set about; go about; approach; 	begin to deal with	دەستپێکی مامەڵە کردن لەگەڵ
ENG20-02366135-v	direct; 	be in charge of	بەرپرسیار بوون
ENG20-02366849-v	head; lead; 	be in charge of	بەرپرسیار بوون
ENG20-02367626-v	control; command; 	exercise authoritative control or power over	مەشقی دەسەڵاتداری یان کۆنترۆڵ بە سەر
ENG20-02372059-v	conduct; carry on; deal; 	direct the course of; manage or control	ڕاهێنانی جەریانی، بەڕێوەبردن یان کۆنترۆڵ کردن
ENG20-02375293-n	loin; lumbus; 	either side of the backbone between the hipbone and the ribs in humans as well as quadrupeds	هەر دوو لایەنی ئێسکی پشت لە بەینی ئێسکی سمت و پەراسووەکان لە ئینساندا یان چوارپێیەکاندا
ENG20-02376377-v	admit; let in; include; 	allow participation in or the right to be part of; permit to exercise the rights, functions, and responsibilities of	ئیزن دانی بەشداری کردن لە مافی بەشداری کردن لە، ئیزنی ڕاهێنانی مافەکان، ئیشەکان و بەرپرسیاریەتیەکان
ENG20-02376786-v	participate; take part; 	share in something	هاوبەشی کردن لە شتێک دا
ENG20-02377053-v	prevent; keep; 	prevent from doing something or being in a certain state	ڕێگە نەدان بە ئەنجام دانی شتێک یا بوون لە بارێکی تایبەت دا
ENG20-02377880-v	impede; hinder; 	be a hindrance or obstacle to	کۆسپ و لەمپەڕ بوون بۆ
ENG20-02377931-n	fin; 	organ of locomotion and balance in fishes and some other aquatic animals	ئەندامی جووڵانەوە و تەراز کردنی جەستەی ماسیەکان و هەندێ گیانەوەری دی ئاوی
ENG20-02380524-n	vein; nervure; 	one of the horny ribs that stiffen and support the wing of an insect	یەکێک لە پەراسووە شاخدارەکان کە سفت دەبێتەوە و پاڵپشتی باڵی مێروو دەکا
ENG20-02381487-v	watch; observe; follow; watch over; keep an eye on; 	follow with the eyes or the mind	بە چاو یان بیر شوێن کەوتن
ENG20-02381703-n	primate; 	any placental mammal of the order Primates; has good eyesight and flexible hands and feet	هەر جۆرە شیردەرێکی دارای هەواڵ منداڵ ڕەستەی هەوەلیەکان، توانای بینینی باش و دەست و پێ نەرم و شل
